,data_0x,data_3x,data_5x,data_10x
1,17,0.0,0.0,0.0
2,4,0.0,0.0,0.0
3,6,0.0,0.0,0.0
4,23,0.0,0.0,0.0
5,14,0.0,0.0,0.0
6,8,0.0,0.0,0.0
7,6,0.0,0.0,0.0
8,13,0.0,0.0,0.0
9,10,0.0,0.0,0.0
10,16,0.0,0.0,0.0
11,15,0.0,0.0,0.0
12,4,0.0,0.0,0.0
13,25,0.0,0.0,0.0
14,16,0.0,0.0,0.0
15,3,0.0,0.0,0.0
16,10,0.0,0.0,0.0
17,30,0.0,0.0,0.0
18,6,0.0,0.0,0.0
19,25,0.0,0.0,0.0
20,22,0.0,0.0,0.0
21,8,0.0,0.0,0.0
22,36,13.0,15.0,0.0
23,5,0.0,0.0,0.0
24,3,0.0,0.0,0.0
25,22,0.0,0.0,0.0
26,19,0.0,0.0,0.0
27,2,0.0,0.0,0.0
28,46,13.0,14.0,22.0
29,4,0.0,0.0,0.0
30,50,3.0,0.0,0.0
31,6,3.0,0.0,0.0
32,31,11.0,19.0,0.0
33,8,0.0,0.0,0.0
34,50,40.0,46.0,0.0
35,31,18.0,0.0,0.0
36,16,5.0,6.0,0.0
37,14,0.0,0.0,0.0
38,25,20.0,0.0,0.0
39,17,0.0,0.0,0.0
40,4,0.0,0.0,0.0
41,8,5.0,0.0,0.0
42,6,0.0,0.0,0.0
43,40,3.0,7.0,10.0
44,24,3.0,0.0,0.0
45,8,0.0,0.0,0.0
46,23,0.0,0.0,0.0
47,14,0.0,0.0,0.0
48,73,10.0,41.0,0.0
49,17,0.0,0.0,0.0
50,8,0.0,0.0,0.0
51,27,0.0,0.0,0.0
52,39,16.0,17.0,32.0
53,11,0.0,0.0,0.0
54,12,0.0,0.0,0.0
55,34,25.0,28.0,0.0
56,8,0.0,0.0,0.0
57,6,0.0,0.0,0.0
58,11,0.0,0.0,0.0
59,8,0.0,0.0,0.0
60,22,0.0,0.0,0.0
61,5,0.0,0.0,0.0
62,7,0.0,0.0,0.0
63,7,0.0,0.0,0.0
64,7,0.0,0.0,0.0
65,21,5.0,12.0,0.0
66,6,0.0,0.0,0.0
67,10,0.0,0.0,0.0
68,9,0.0,0.0,0.0
69,14,0.0,0.0,0.0
70,10,0.0,0.0,0.0
71,7,0.0,0.0,0.0
72,27,8.0,0.0,0.0
73,11,0.0,0.0,0.0
74,11,0.0,0.0,0.0
75,4,0.0,0.0,0.0
76,9,0.0,0.0,0.0
77,7,0.0,0.0,0.0
78,10,0.0,0.0,0.0
79,6,0.0,0.0,0.0
80,44,0.0,0.0,0.0
81,6,0.0,0.0,0.0
82,37,6.0,8.0,0.0
83,12,0.0,0.0,0.0
84,18,0.0,0.0,0.0
85,2,0.0,0.0,0.0
86,6,0.0,0.0,0.0
87,15,0.0,0.0,0.0
88,7,0.0,0.0,0.0
89,64,7.0,8.0,9.0
90,9,0.0,0.0,0.0
91,4,0.0,0.0,0.0
92,10,0.0,0.0,0.0
93,44,22.0,0.0,0.0
94,12,0.0,0.0,0.0
95,0,5.0,6.0,8.0
96,15,0.0,0.0,0.0
97,7,0.0,0.0,0.0
98,7,0.0,0.0,0.0
99,12,0.0,0.0,0.0
100,5,0.0,0.0,0.0
101,4,0.0,0.0,0.0
102,27,15.0,20.0,0.0
103,19,0.0,0.0,0.0
104,51,33.0,34.0,0.0
105,10,0.0,0.0,0.0
106,37,12.0,15.0,0.0
107,38,3.0,7.0,14.0
108,7,0.0,0.0,0.0
109,19,8.0,9.0,0.0
110,14,0.0,0.0,0.0
111,13,0.0,0.0,0.0
112,2,0.0,0.0,0.0
113,48,15.0,16.0,23.0
114,9,0.0,0.0,0.0
115,14,0.0,0.0,0.0
116,61,4.0,11.0,21.0
117,15,0.0,0.0,0.0
118,15,0.0,0.0,0.0
119,5,0.0,0.0,0.0
120,5,0.0,0.0,0.0
121,31,24.0,0.0,0.0
122,15,12.0,0.0,0.0
123,18,0.0,0.0,0.0
124,5,3.0,0.0,0.0
125,3,0.0,0.0,0.0
126,29,4.0,17.0,0.0
127,63,11.0,14.0,17.0
128,11,0.0,0.0,0.0
129,10,0.0,0.0,0.0
130,10,3.0,0.0,0.0
131,23,16.0,0.0,0.0
132,17,0.0,0.0,0.0
133,60,8.0,23.0,25.0
134,2,0.0,0.0,0.0
135,12,0.0,0.0,0.0
136,19,0.0,0.0,0.0
137,4,0.0,0.0,0.0
138,5,0.0,0.0,0.0
139,8,0.0,0.0,0.0
140,5,0.0,0.0,0.0
141,9,6.0,0.0,0.0
142,24,0.0,0.0,0.0
143,34,30.0,0.0,0.0
144,31,0.0,0.0,0.0
145,6,0.0,0.0,0.0
146,11,0.0,0.0,0.0
147,32,22.0,0.0,0.0
148,9,0.0,0.0,0.0
149,15,0.0,0.0,0.0
150,3,0.0,0.0,0.0
151,32,3.0,12.0,0.0
152,10,0.0,0.0,0.0
153,10,3.0,0.0,0.0
154,6,0.0,0.0,0.0
155,7,0.0,0.0,0.0
156,7,0.0,0.0,0.0
157,12,0.0,0.0,0.0
158,12,0.0,0.0,0.0
159,6,0.0,0.0,0.0
160,6,0.0,0.0,0.0
161,11,0.0,0.0,0.0
162,28,5.0,7.0,10.0
163,23,4.0,15.0,0.0
164,14,0.0,0.0,0.0
165,21,0.0,0.0,0.0
166,63,3.0,4.0,33.0
167,9,0.0,0.0,0.0
168,7,3.0,0.0,0.0
169,13,0.0,0.0,0.0
170,19,0.0,0.0,0.0
171,16,0.0,0.0,0.0
172,47,13.0,23.0,31.0
173,4,0.0,0.0,0.0
174,42,31.0,32.0,0.0
175,13,0.0,0.0,0.0
176,19,0.0,0.0,0.0
177,17,0.0,0.0,0.0
178,28,10.0,16.0,0.0
179,21,3.0,4.0,0.0
180,19,0.0,0.0,0.0
181,5,0.0,0.0,0.0
182,27,0.0,0.0,0.0
183,53,4.0,8.0,9.0
184,9,0.0,0.0,0.0
185,15,3.0,4.0,0.0
186,0,12.0,19.0,27.0
187,31,20.0,0.0,0.0
188,13,0.0,0.0,0.0
189,8,0.0,0.0,0.0
190,24,13.0,15.0,0.0
191,17,0.0,0.0,0.0
192,14,0.0,0.0,0.0
193,40,0.0,0.0,0.0
194,7,0.0,0.0,0.0
195,5,0.0,0.0,0.0
196,9,0.0,0.0,0.0
197,16,0.0,0.0,0.0
198,6,0.0,0.0,0.0
199,38,0.0,0.0,0.0
200,11,5.0,0.0,0.0
201,14,12.0,0.0,0.0
202,11,0.0,0.0,0.0
203,16,0.0,0.0,0.0
204,9,0.0,0.0,0.0
205,11,0.0,0.0,0.0
206,4,0.0,0.0,0.0
207,4,0.0,0.0,0.0
208,7,0.0,0.0,0.0
209,25,0.0,0.0,0.0
210,12,0.0,0.0,0.0
211,25,6.0,18.0,0.0
212,8,0.0,0.0,0.0
213,8,0.0,0.0,0.0
214,7,0.0,0.0,0.0
215,21,11.0,0.0,0.0
216,11,0.0,0.0,0.0
217,60,29.0,30.0,34.0
218,14,6.0,0.0,0.0
219,45,12.0,14.0,0.0
220,96,5.0,6.0,8.0
221,12,0.0,0.0,0.0
222,7,0.0,0.0,0.0
223,18,4.0,0.0,0.0
224,18,0.0,0.0,0.0
225,10,7.0,0.0,0.0
226,21,0.0,0.0,0.0
227,6,0.0,0.0,0.0
228,7,3.0,0.0,0.0
229,7,0.0,0.0,0.0
230,8,0.0,0.0,0.0
231,21,0.0,0.0,0.0
232,12,0.0,0.0,0.0
233,14,0.0,0.0,0.0
234,6,0.0,0.0,0.0
235,12,0.0,0.0,0.0
236,12,0.0,0.0,0.0
237,20,6.0,0.0,0.0
238,15,0.0,0.0,0.0
239,18,0.0,0.0,0.0
240,11,0.0,0.0,0.0
241,21,0.0,0.0,0.0
242,11,0.0,0.0,0.0
243,27,9.0,0.0,0.0
244,14,7.0,0.0,0.0
245,5,0.0,0.0,0.0
246,47,31.0,32.0,0.0
247,13,0.0,0.0,0.0
248,12,0.0,0.0,0.0
249,16,0.0,0.0,0.0
250,7,0.0,0.0,0.0
251,4,0.0,0.0,0.0
252,6,0.0,0.0,0.0
253,6,0.0,0.0,0.0
254,25,0.0,0.0,0.0
255,27,14.0,0.0,0.0
256,6,0.0,0.0,0.0
257,7,0.0,0.0,0.0
258,50,0.0,0.0,0.0
259,7,0.0,0.0,0.0
260,8,0.0,0.0,0.0
261,5,0.0,0.0,0.0
262,19,10.0,0.0,0.0
263,27,0.0,0.0,0.0
264,45,3.0,4.0,6.0
265,3,0.0,0.0,0.0
266,9,0.0,0.0,0.0
267,9,0.0,0.0,0.0
268,17,0.0,0.0,0.0
269,17,0.0,0.0,0.0
270,14,0.0,0.0,0.0
271,27,13.0,14.0,0.0
272,14,0.0,0.0,0.0
273,0,14.0,15.0,18.0
274,14,6.0,0.0,0.0
275,8,0.0,0.0,0.0
276,15,0.0,0.0,0.0
277,7,0.0,0.0,0.0
278,23,9.0,16.0,0.0
279,17,0.0,0.0,0.0
280,4,0.0,0.0,0.0
281,15,0.0,0.0,0.0
282,4,0.0,0.0,0.0
283,24,7.0,9.0,0.0
284,14,3.0,0.0,0.0
285,6,0.0,0.0,0.0
286,42,4.0,11.0,20.0
287,4,0.0,0.0,0.0
288,24,0.0,0.0,0.0
289,21,0.0,0.0,0.0
290,24,3.0,14.0,0.0
291,74,18.0,19.0,19.0
292,8,0.0,0.0,0.0
293,0,8.0,9.0,18.0
294,11,3.0,4.0,0.0
295,22,5.0,16.0,0.0
296,27,0.0,0.0,0.0
297,19,13.0,0.0,0.0
298,40,6.0,0.0,0.0
299,1,0.0,0.0,0.0
300,13,0.0,0.0,0.0
301,10,0.0,0.0,0.0
302,17,0.0,0.0,0.0
303,4,0.0,0.0,0.0
304,15,0.0,0.0,0.0
305,19,3.0,4.0,0.0
306,10,0.0,0.0,0.0
307,5,0.0,0.0,0.0
308,30,0.0,0.0,0.0
309,7,0.0,0.0,0.0
310,4,0.0,0.0,0.0
311,26,6.0,0.0,0.0
312,17,0.0,0.0,0.0
313,15,0.0,0.0,0.0
314,35,0.0,0.0,0.0
315,27,14.0,15.0,0.0
316,20,0.0,0.0,0.0
317,14,0.0,0.0,0.0
318,6,0.0,0.0,0.0
319,12,0.0,0.0,0.0
320,19,0.0,0.0,0.0
321,5,0.0,0.0,0.0
322,15,0.0,0.0,0.0
323,2,0.0,0.0,0.0
324,38,0.0,0.0,0.0
325,25,0.0,0.0,0.0
326,10,0.0,0.0,0.0
327,9,0.0,0.0,0.0
328,4,0.0,0.0,0.0
329,27,0.0,0.0,0.0
330,26,0.0,0.0,0.0
331,48,22.0,24.0,0.0
332,11,0.0,0.0,0.0
333,15,0.0,0.0,0.0
334,24,15.0,0.0,0.0
