,9,10,11,12,13,14,15,16,17
2,H,D,D,H,S,S,S,S,S
3,D,D,D,H,S,S,S,S,S
4,D,D,D,S,S,S,S,S,S
5,D,D,D,S,S,S,S,S,S
6,D,D,D,S,S,S,S,S,S
7,H,D,D,H,H,H,H,H,S
8,H,D,D,H,H,H,H,H,S
9,H,D,D,H,H,H,H,H,S
10,H,H,D,H,H,H,H,H,S
11,H,H,D,H,H,H,H,H,S
