,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
15,40.0,0.0,0.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,40.0,20.0,10.0,40.0,10.0,0.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,40.0,10.0,10.0,10.0,20.0,20.0,20.0,40.0,10.0,10.0,40.0,20.0,80.0,0.0,20.0,10.0
16,10.0,0.0,0.0,10.0,10.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,80.0,40.0,10.0,10.0,0.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,10.0,10.0,10.0,20.0,10.0,40.0,40.0,40.0,40.0,20.0,20.0,10.0,10.0,-35.0,0.0,20.0,10.0
17,20.0,0.0,0.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,20.0,20.0,20.0,10.0,80.0,20.0,10.0,0.0,10.0,10.0,10.0,5.0,20.0,40.0,10.0,20.0,40.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0,-70.0,0.0,20.0,10.0
18,10.0,0.0,0.0,20.0,40.0,20.0,20.0,10.0,20.0,20.0,20.0,10.0,10.0,20.0,0.0,10.0,20.0,0.0,20.0,10.0,20.0,0.0,40.0,10.0,20.0,10.0,10.0,40.0,10.0,10.0,10.0,20.0,10.0,20.0,10.0,20.0,40.0,10.0,10.0,20.0,20.0,10.0,10.0,20.0,10.0,10.0,-140.0,0.0,10.0,20.0
19,20.0,0.0,0.0,10.0,10.0,10.0,10.0,10.0,40.0,40.0,10.0,10.0,20.0,10.0,0.0,10.0,10.0,0.0,40.0,10.0,10.0,0.0,10.0,10.0,40.0,20.0,20.0,10.0,20.0,10.0,20.0,10.0,10.0,20.0,20.0,40.0,10.0,10.0,20.0,10.0,10.0,10.0,20.0,20.0,20.0,20.0,-140.0,0.0,20.0,40.0
20,10.0,0.0,0.0,20.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,40.0,40.0,10.0,0.0,20.0,10.0,0.0,10.0,20.0,10.0,0.0,10.0,20.0,10.0,40.0,10.0,10.0,40.0,10.0,40.0,10.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,20.0,20.0,10.0,10.0,20.0,40.0,10.0,-280.0,0.0,10.0,10.0
21,20.0,0.0,0.0,40.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,40.0,20.0,10.0,0.0,10.0,20.0,0.0,10.0,10.0,10.0,0.0,20.0,40.0,20.0,10.0,10.0,40.0,10.0,20.0,10.0,20.0,40.0,20.0,40.0,20.0,10.0,20.0,10.0,40.0,40.0,10.0,20.0,40.0,10.0,10.0,-840.0,0.0,20.0,10.0
22,40.0,0.0,0.0,20.0,20.0,10.0,40.0,20.0,10.0,10.0,20.0,10.0,10.0,20.0,0.0,20.0,20.0,0.0,10.0,20.0,10.0,0.0,20.0,10.0,20.0,10.0,20.0,80.0,10.0,10.0,10.0,10.0,10.0,10.0,80.0,10.0,20.0,20.0,20.0,20.0,40.0,20.0,10.0,10.0,10.0,10.0,-1260.0,0.0,10.0,10.0
23,10.0,0.0,0.0,10.0,10.0,20.0,10.0,40.0,10.0,20.0,0.0,20.0,10.0,80.0,0.0,80.0,20.0,0.0,20.0,40.0,20.0,0.0,40.0,20.0,10.0,20.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,40.0,20.0,20.0,10.0,40.0,10.0,10.0,10.0,10.0,10.0,10.0,20.0,10.0,-3150.0,0.0,20.0,40.0
24,10.0,0.0,0.0,20.0,20.0,10.0,10.0,10.0,20.0,10.0,0.0,20.0,10.0,10.0,0.0,10.0,10.0,0.0,40.0,10.0,20.0,0.0,10.0,40.0,20.0,20.0,10.0,10.0,10.0,10.0,20.0,10.0,10.0,40.0,20.0,10.0,20.0,10.0,10.0,10.0,20.0,10.0,10.0,20.0,10.0,20.0,-6300.0,0.0,40.0,40.0
